Record_ID,Region,Hour,DayOfWeek,Temperature_C,Humidity_pct,Rainfall_mm,PopulationIndex,IndustrialIndex,SolarGenerationIndex,GridLoad_MW
1,Central,20,0,hot,52,3.1,93,89,0.03,850.3
2,Eastern,13,0,18.5,N/A,3.7,95,89,0.38,788.3
3,Western,14,4,22.7,90,unknown,71,55,0.13,548.0
4,Northern,10,0,19.6,41,0.1,###,78,0.45,604.6
5,Northern,12,0,27.4,88,0.0,86,high,0.7,546.1
6,Central,1,5,21.9,53,12.8,74,55,0.04,MW900
7,Central,11,1,24.3,48,0.0,88,41,0.49,599.1
8,Eastern,7,1,25.9,52,10.1,93,61,0.49,680.7
9,Eastern,1,1,32.0,86,1.4,86,60,0.02,661.0
10,Eastern,15,3,33.0,76,0.0,97,91,0.4,816.2
11,Eastern,23,4,25.3,-15,0.2,82,83,0.01,732.7
12,Central,30,6,19.9,75,7.0,74,68,0.05,662.8
13,Central,14,4,22.3,70,3.5,93,88,1.8,792.0
14,Northern,20,2,19.9,62,-12,82,42,0.17,577.2
15,Eastern,3,6,28.6,88,0.0,73,40,0.13,520.6
16,Northern,16,0,28.2,66,14.4,65,27,0.16,426.2
17,Eastern,18,0,19.5,66,8.6,58,80,0.47,636.4
18,Eastern,5,2,27.0,73,0.0,95,59,0.17,675.8
19,Eastern,21,5,24.3,92,0.5,54,63,0.01,594.5
20,Eastern,17,1,28.0,35,9.4,54,24,0.5,413.3
21,Western,2,4,22.0,77,0.0,65,80,0.13,652.2
22,Central,6,0,19.6,62,0.0,93,32,0.03,587.5
23,Western,23,2,31.6,41,3.0,58,74,0.02,642.2
24,Central,14,1,32.9,39,0.0,53,89,0.7,720.3
25,Western,2,6,32.4,45,0.0,53,41,0.06,499.0
26,Western,12,2,33.8,85,0.0,59,44,0.3,509.4
27,Western,1,4,30.5,38,3.0,82,87,0.01,757.4
28,Eastern,16,0,32.5,39,0.0,75,35,0.63,528.2
29,Northern,18,1,27.8,37,0.0,66,46,0.33,567.2
30,Northern,10,1,22.5,43,1.0,98,29,0.01,545.2
31,Eastern,19,4,34.9,39,0.0,72,28,0.37,544.4
32,Central,11,2,20.7,88,0.0,92,90,0.27,796.3
33,Eastern,21,0,34.0,43,2.0,67,56,0.15,657.3
34,Northern,22,2,21.5,75,6.6,53,31,0.11,391.9
35,Eastern,8,0,18.1,84,12.5,97,76,0.37,739.7
36,Eastern,13,4,18.2,39,10.2,84,24,0.77,467.8
37,Central,18,4,20.5,43,7.6,72,46,0.34,609.3
38,Eastern,21,0,24.0,70,6.8,65,40,0.24,525.8
39,Western,5,3,18.4,82,10.8,92,51,0.11,584.8
40,Western,22,0,24.5,37,5.2,72,59,0.14,596.9
41,Central,7,1,18.4,47,0.0,99,55,0.2,715.9
42,Central,16,3,29.6,88,0.0,66,42,0.39,539.9
43,Western,8,0,19.8,62,0.0,88,85,0.08,774.2
44,Eastern,18,1,22.3,80,0.0,73,75,0.03,704.9
45,Northern,21,2,28.6,77,7.6,82,59,0.17,639.0
46,Western,10,3,29.9,70,6.6,93,42,0.51,592.2
47,Northern,9,3,27.3,35,1.9,79,76,0.33,714.0
48,Central,6,4,26.0,92,10.9,68,85,0.33,694.6
49,Eastern,19,2,19.6,95,3.1,62,38,0.01,492.4
50,Eastern,7,3,28.4,84,7.6,95,69,0.29,722.1
51,Central,7,1,29.2,35,10.8,99,74,0.13,789.3
52,Western,22,4,25.9,70,3.0,58,79,0.11,648.2
53,Western,17,4,23.4,83,8.3,85,77,0.52,674.4
54,Northern,23,6,26.1,51,3.1,99,86,0.04,767.2
55,Northern,7,2,25.5,80,2.1,84,30,0.08,527.9
56,Northern,7,3,29.8,80,4.2,84,79,0.24,728.8
57,Central,6,6,25.1,92,4.5,98,93,0.19,810.6
58,Western,0,2,23.1,59,10.5,84,89,0.0,724.1
59,Western,7,3,21.7,62,0.0,96,41,0.49,609.0
60,Central,4,4,27.1,93,0.0,55,74,0.05,643.6
61,Northern,14,1,18.9,59,0.4,98,68,0.23,698.9
62,Northern,13,2,32.2,65,9.2,64,28,0.72,434.0
63,Eastern,20,0,30.8,95,3.2,65,36,0.16,540.7
64,Eastern,3,4,34.1,64,0.3,88,34,0.19,556.3
65,Western,5,2,19.8,36,8.9,75,45,0.03,536.9
66,Central,22,6,28.7,41,1.6,100,92,0.13,858.2
67,Central,11,4,25.3,58,9.6,76,82,0.1,732.4
68,Northern,11,5,33.2,64,1.6,89,88,0.71,753.5
69,Central,14,3,32.0,72,1.9,67,77,0.2,713.9
70,Northern,14,4,28.4,59,0.0,61,82,0.18,664.5
71,Central,8,2,22.8,73,1.8,83,44,0.06,611.7
72,Western,23,3,26.3,83,3.3,78,22,0.01,470.4
73,Northern,7,3,29.8,54,0.5,77,90,0.19,753.8
74,Northern,22,3,22.6,51,4.0,57,88,0.16,667.1
75,Northern,22,1,21.3,82,0.0,56,44,0.05,469.3
76,Central,11,1,23.1,80,0.0,85,57,0.64,646.2
77,Northern,4,5,32.8,66,3.6,80,81,0.15,711.3
78,Western,5,0,22.3,90,0.0,81,29,0.24,491.1
79,Eastern,21,0,20.6,86,0.0,57,91,0.19,706.3
80,Western,19,4,31.4,49,3.8,69,95,0.41,775.6
81,Eastern,9,4,28.6,74,5.2,90,47,0.2,623.9
82,Western,2,1,22.1,70,3.3,94,80,0.05,737.8
83,Eastern,7,2,30.0,79,4.2,66,95,0.39,741.9
84,Eastern,6,3,20.0,49,0.0,54,27,0.08,405.2
85,Western,9,4,30.7,71,7.7,94,58,0.52,668.6
86,Western,8,4,27.2,63,4.2,97,61,0.4,698.0
87,Central,0,0,21.9,78,6.4,98,54,0.0,664.0
88,Western,5,3,26.8,63,5.7,90,82,0.4,734.3
89,Northern,15,2,24.9,55,0.0,76,83,0.22,685.6
90,Northern,12,6,30.9,37,0.0,57,71,0.86,606.0
91,Northern,0,5,32.8,64,0.2,89,83,0.0,756.4
92,Western,1,1,22.5,43,7.8,57,23,0.08,399.1
93,Western,19,6,22.1,45,2.7,55,48,0.41,539.2
94,Northern,3,3,34.1,76,5.9,82,54,0.1,596.3
95,Eastern,15,3,22.1,70,5.0,54,55,0.58,516.1
96,Northern,13,2,33.9,67,3.0,87,94,0.92,775.3
97,Western,15,6,20.5,69,0.0,79,61,0.65,610.4
98,Northern,22,1,27.7,49,6.2,97,80,0.12,744.2
99,Western,12,3,34.8,85,9.0,52,36,0.5,419.3
100,Western,18,2,32.8,90,4.3,50,38,0.2,484.1
101,Western,20,1,19.3,85,7.5,91,30,0.28,545.8
102,Western,21,6,27.1,55,0.0,84,24,0.15,531.0
103,Western,7,5,29.6,53,11.3,56,32,0.26,457.9
104,Northern,22,2,33.4,37,2.2,73,75,0.02,684.8
105,Western,16,3,27.6,85,4.3,89,50,0.33,606.3
106,Central,18,1,21.9,75,2.9,79,56,0.34,671.5
107,Western,5,0,25.5,57,7.2,94,52,0.19,629.0
108,Northern,9,1,35.0,89,0.0,86,57,0.74,644.9
109,Central,9,0,34.6,77,2.5,88,83,0.62,802.0
110,Eastern,9,6,31.6,73,4.1,89,52,0.51,639.9
111,Central,23,6,29.2,88,4.5,69,76,0.0,690.2
112,Eastern,11,5,20.2,93,0.7,62,36,0.72,464.1
113,Western,11,4,26.5,52,4.9,68,63,0.74,589.4
114,Western,14,0,20.4,49,8.1,85,66,0.08,642.0
115,Northern,12,0,22.5,42,0.0,87,68,0.82,667.3
116,Northern,11,0,,65,13.3,89,48,0.59,580.8
117,Eastern,20,6,25.9,79,1.4,52,24,0.1,446.4
118,Northern,15,0,19.7,91,0.0,92,89,0.31,743.5
119,Western,23,5,20.6,61,0.0,67,24,0.06,425.4
120,Northern,6,3,25.6,50,4.4,84,65,0.03,648.3
121,Eastern,8,1,34.5,95,6.2,91,22,0.03,525.1
122,Eastern,10,1,34.8,85,1.3,87,47,0.68,601.3
123,Eastern,7,2,31.2,85,3.3,58,89,0.15,700.8
124,Eastern,5,0,29.2,36,6.2,87,61,0.01,675.1
125,Western,8,0,20.2,61,0.0,78,66,0.34,651.7
126,Northern,3,3,26.6,95,0.0,79,23,0.02,450.4
127,Western,15,6,24.8,78,9.1,54,30,0.24,416.1
128,Northern,4,0,20.1,74,0.0,74,87,0.1,686.6
129,Eastern,16,4,25.3,85,0.1,77,77,0.59,661.7
